#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K)
2008-05-15,299.974152,299.974152,300.937561,300.937561,299.830811,299.830811,298.238861,298.238861,300.819275,300.819275
2008-06-15,304.615295,304.615295,302.976166,302.976166,303.555084,303.555084,302.333771,302.333771,304.040802,304.040802
2008-07-15,305.720642,305.720642,307.573547,307.573547,303.836884,303.836884,304.849365,304.849365,303.445557,303.445557
2008-08-15,306.355408,306.355408,302.780151,302.780151,303.693787,303.693787,304.580597,304.580597,305.451050,305.451050
2008-09-15,302.684906,302.684906,300.067657,300.067657,301.304535,301.304535,299.925232,299.925232,304.341980,304.341980
2008-10-15,298.350006,298.350006,293.299988,293.299988,297.537567,297.537567,297.152557,297.152557,298.046082,298.046082
2008-11-15,288.854156,288.854156,294.829773,294.829773,294.469543,294.469543,289.405884,289.405884,290.414215,290.414215
2008-12-15,286.488342,286.488342,286.682434,286.682434,287.177612,287.177612,283.226807,283.226807,283.660248,283.660248
2009-01-15,283.174194,283.174194,280.855896,280.855896,283.195587,283.195587,290.104248,290.104248,284.883270,284.883270
2009-02-15,288.097717,288.097717,286.127533,286.127533,285.906738,285.906738,287.448517,287.448517,288.227081,288.227081
2009-03-15,293.184662,293.184662,291.783600,291.783600,287.577301,287.577301,291.033142,291.033142,291.631714,291.631714
2009-04-15,298.875885,298.875885,293.735016,293.735016,295.971497,295.971497,297.914856,297.914856,295.988434,295.988434
2009-05-15,301.344971,301.344971,296.409760,296.409760,297.809021,297.809021,300.572052,300.572052,299.133636,299.133636
2009-06-15,303.020813,303.020813,303.696991,303.696991,300.401428,300.401428,303.588593,303.588593,303.497864,303.497864
2009-07-15,303.403381,303.403381,303.094360,303.094360,303.361298,303.361298,305.656799,305.656799,303.783630,303.783630
2009-08-15,306.277618,306.277618,301.813110,301.813110,305.789856,305.789856,303.461212,303.461212,304.133636,304.133636
2009-09-15,301.791473,301.791473,298.851929,298.851929,300.877930,300.877930,300.887756,300.887756,301.684998,301.684998
2009-10-15,295.898956,295.898956,292.643951,292.643951,292.783508,292.783508,297.137604,297.137604,294.348053,294.348053
2009-11-15,293.415405,293.415405,293.426361,293.426361,289.391479,289.391479,288.962006,288.962006,287.979584,287.979584
2009-12-15,282.429962,282.429962,284.556061,284.556061,283.368958,283.368958,285.180786,285.180786,282.750977,282.750977
2010-01-15,284.024963,284.024963,278.259888,278.259888,284.611450,284.611450,279.619354,279.619354,282.217102,282.217102
2010-02-15,290.665955,290.665955,284.675842,284.675842,289.494476,289.494476,283.463318,283.463318,279.877136,279.877136
2010-03-15,290.848206,290.848206,288.724792,288.724792,291.763916,291.763916,287.348358,287.348358,289.417908,289.417908
2010-04-15,298.910797,298.910797,295.655640,295.655640,295.324158,295.324158,298.901550,298.901550,296.482758,296.482758
2010-05-15,300.192505,300.192505,297.901306,297.901306,299.704865,299.704865,301.867950,301.867950,299.601929,299.601929
2010-06-15,303.039490,303.039490,301.875336,301.875336,306.713531,306.713531,303.214905,303.214905,303.767273,303.767273
2010-07-15,306.989471,306.989471,303.003815,303.003815,306.926971,306.926971,303.914032,303.914032,304.425018,304.425018
2010-08-15,301.430573,301.430573,301.963043,301.963043,302.474762,302.474762,305.205872,305.205872,303.873627,303.873627
2010-09-15,299.308411,299.308411,298.970917,298.970917,305.291931,305.291931,303.304230,303.304230,301.506012,301.506012
2010-10-15,298.421143,298.421143,294.734375,294.734375,296.229126,296.229126,296.714569,296.714569,296.314850,296.314850
2010-11-15,291.501740,291.501740,290.715881,290.715881,288.426697,288.426697,290.531647,290.531647,291.766388,291.766388
2010-12-15,287.539032,287.539032,285.557709,285.557709,283.218750,283.218750,285.676971,285.676971,285.105682,285.105682
2011-01-15,278.562561,278.562561,281.744751,281.744751,280.553345,280.553345,285.040192,285.040192,287.914520,287.914520
2011-02-15,291.165253,291.165253,285.094238,285.094238,288.919189,288.919189,280.618256,280.618256,286.584869,286.584869
2011-03-15,290.704102,290.704102,289.915771,289.915771,292.932220,292.932220,289.952850,289.952850,293.728149,293.728149
2011-04-15,292.793793,292.793793,297.589294,297.589294,295.066223,295.066223,296.224823,296.224823,297.914154,297.914154
2011-05-15,298.853333,298.853333,301.356018,301.356018,298.565002,298.565002,299.677582,299.677582,301.031616,301.031616
2011-06-15,304.491882,304.491882,299.841095,299.841095,303.424805,303.424805,303.080200,303.080200,305.189789,305.189789
2011-07-15,306.965576,306.965576,303.634064,303.634064,306.603790,306.603790,305.410950,305.410950,308.152893,308.152893
2011-08-15,305.886414,305.886414,304.547424,304.547424,305.189819,305.189819,304.294342,304.294342,305.037537,305.037537
2011-09-15,304.484985,304.484985,300.129211,300.129211,303.853180,303.853180,300.707581,300.707581,301.225159,301.225159
2011-10-15,296.503174,296.503174,294.517639,294.517639,299.034485,299.034485,298.506714,298.506714,295.523102,295.523102
2011-11-15,288.665497,288.665497,288.496033,288.496033,288.992706,288.992706,290.970856,290.970856,290.072601,290.072601
2011-12-15,280.673553,280.673553,282.299927,282.299927,283.825500,283.825500,282.625610,282.625610,287.709137,287.709137
2012-01-15,280.870209,280.870209,284.278717,284.278717,282.622620,282.622620,286.471710,286.471710,291.524780,291.524780
2012-02-15,286.386841,286.386841,287.320007,287.320007,284.324463,284.324463,284.523285,284.523285,291.065948,291.065948
2012-03-15,290.604706,290.604706,290.769806,290.769806,291.978363,291.978363,294.576019,294.576019,294.501770,294.501770
2012-04-15,299.055328,299.055328,297.442535,297.442535,295.135437,295.135437,297.388153,297.388153,296.868042,296.868042
2012-05-15,301.121979,301.121979,301.470520,301.470520,301.154266,301.154266,300.653076,300.653076,301.809937,301.809937
2012-06-15,307.326294,307.326294,304.759094,304.759094,304.068909,304.068909,304.023468,304.023468,302.843933,302.843933
2012-07-15,307.097015,307.097015,303.762695,303.762695,303.188660,303.188660,304.567291,304.567291,305.456207,305.456207
2012-08-15,304.216217,304.216217,304.152710,304.152710,303.921906,303.921906,303.656769,303.656769,305.555756,305.555756
2012-09-15,303.351349,303.351349,301.655365,301.655365,301.307220,301.307220,301.633270,301.633270,301.820129,301.820129
2012-10-15,297.740631,297.740631,296.652496,296.652496,298.155701,298.155701,296.566742,296.566742,295.084564,295.084564
2012-11-15,292.777252,292.777252,293.631744,293.631744,292.446777,292.446777,287.919403,287.919403,291.047760,291.047760
2012-12-15,284.655121,284.655121,287.967407,287.967407,286.388245,286.388245,283.618927,283.618927,289.397186,289.397186
2013-01-15,285.001404,285.001404,283.623596,283.623596,285.039490,285.039490,287.067017,287.067017,285.812744,285.812744
2013-02-15,288.687714,288.687714,289.513153,289.513153,286.410675,286.410675,290.201660,290.201660,291.418060,291.418060
2013-03-15,289.890442,289.890442,293.541046,293.541046,288.888519,288.888519,288.949677,288.949677,293.485565,293.485565
2013-04-15,294.750580,294.750580,295.275848,295.275848,295.072357,295.072357,298.417694,298.417694,298.324554,298.324554
2013-05-15,301.473907,301.473907,301.640656,301.640656,298.608154,298.608154,299.750946,299.750946,298.569458,298.569458
2013-06-15,306.582428,306.582428,303.560974,303.560974,303.082733,303.082733,303.408600,303.408600,304.123322,304.123322
2013-07-15,307.385040,307.385040,303.761597,303.761597,307.729462,307.729462,306.532471,306.532471,305.291962,305.291962
2013-08-15,305.554443,305.554443,303.826019,303.826019,303.784058,303.784058,305.163910,305.163910,306.323395,306.323395
2013-09-15,302.266602,302.266602,298.765320,298.765320,298.237854,298.237854,301.436676,301.436676,302.767670,302.767670
2013-10-15,296.360535,296.360535,292.493774,292.493774,293.156769,293.156769,297.348877,297.348877,294.963684,294.963684
2013-11-15,291.643951,291.643951,291.966309,291.966309,288.551544,288.551544,291.684052,291.684052,289.079529,289.079529
2013-12-15,286.186890,286.186890,286.776276,286.776276,286.613190,286.613190,286.440826,286.440826,287.039734,287.039734
2014-01-15,284.375916,284.375916,288.451935,288.451935,282.972321,282.972321,285.378723,285.378723,285.377991,285.377991
2014-02-15,286.912750,286.912750,287.938263,287.938263,283.045624,283.045624,284.938354,284.938354,285.458466,285.458466
2014-03-15,292.932678,292.932678,293.238281,293.238281,292.870331,292.870331,288.177765,288.177765,291.558563,291.558563
2014-04-15,300.037628,300.037628,296.393341,296.393341,295.053558,295.053558,293.930176,293.930176,296.670868,296.670868
2014-05-15,297.095734,297.095734,298.887512,298.887512,300.545654,300.545654,298.726807,298.726807,300.421783,300.421783
2014-06-15,304.077057,304.077057,302.230011,302.230011,303.140564,303.140564,304.928284,304.928284,302.406586,302.406586
2014-07-15,306.355377,306.355377,305.794708,305.794708,305.210571,305.210571,307.189575,307.189575,304.636749,304.636749
2014-08-15,306.578003,306.578003,304.954010,304.954010,302.947235,302.947235,304.697876,304.697876,305.735870,305.735870
2014-09-15,304.790833,304.790833,300.426636,300.426636,300.047729,300.047729,302.373962,302.373962,299.339142,299.339142
2014-10-15,296.656067,296.656067,295.043488,295.043488,295.981506,295.981506,296.885712,296.885712,299.666840,299.666840
2014-11-15,290.350983,290.350983,288.992645,288.992645,290.197906,290.197906,292.226898,292.226898,293.658142,293.658142
2014-12-15,284.999451,284.999451,285.446472,285.446472,281.832794,281.832794,286.219666,286.219666,289.250946,289.250946
2015-01-15,283.137421,283.137421,283.560822,283.560822,283.575806,283.575806,288.481049,288.481049,284.677368,284.677368
2015-02-15,290.679657,290.679657,285.101471,285.101471,285.756287,285.756287,291.228729,291.228729,287.166656,287.166656
2015-03-15,293.064331,293.064331,289.722351,289.722351,290.320862,290.320862,297.000580,297.000580,291.316986,291.316986
2015-04-15,295.827271,295.827271,296.181274,296.181274,294.384369,294.384369,298.848907,298.848907,295.062439,295.062439
2015-05-15,300.897552,300.897552,299.361420,299.361420,300.569214,300.569214,300.447327,300.447327,301.680664,301.680664
2015-06-15,303.919769,303.919769,302.699829,302.699829,302.979126,302.979126,304.276398,304.276398,302.994995,302.994995
2015-07-15,305.448456,305.448456,303.854523,303.854523,303.261810,303.261810,304.844910,304.844910,305.618439,305.618439
2015-08-15,303.819427,303.819427,304.733032,304.733032,302.948151,302.948151,305.134003,305.134003,306.129822,306.129822
2015-09-15,303.580719,303.580719,299.370270,299.370270,300.954712,300.954712,303.218658,303.218658,298.532166,298.532166
2015-10-15,297.119263,297.119263,297.884979,297.884979,299.942047,299.942047,297.107178,297.107178,296.584137,296.584137
2015-11-15,290.478882,290.478882,290.720673,290.720673,293.581177,293.581177,290.482330,290.482330,290.373138,290.373138
2015-12-15,288.168732,288.168732,289.559784,289.559784,286.820190,286.820190,286.329376,286.329376,281.491852,281.491852
2016-01-15,285.421539,285.421539,282.661285,282.661285,283.834534,283.834534,282.582916,282.582916,285.751892,285.751892
2016-02-15,287.432709,287.432709,286.495911,286.495911,287.985413,287.985413,288.994263,288.994263,285.263489,285.263489
2016-03-15,292.612183,292.612183,292.526031,292.526031,286.904999,286.904999,298.931091,298.931091,292.481903,292.481903
2016-04-15,298.703552,298.703552,295.095612,295.095612,292.809784,292.809784,299.424225,299.424225,296.670837,296.670837
2016-05-15,298.676758,298.676758,298.528992,298.528992,300.094391,300.094391,300.980042,300.980042,299.994598,299.994598
2016-06-15,302.706085,302.706085,303.241913,303.241913,302.712860,302.712860,303.923615,303.923615,302.659973,302.659973
2016-07-15,308.838806,308.838806,304.047150,304.047150,302.410980,302.410980,305.002197,305.002197,304.008514,304.008514
2016-08-15,307.101562,307.101562,303.001129,303.001129,303.784637,303.784637,304.178284,304.178284,305.491913,305.491913
2016-09-15,305.094421,305.094421,301.567993,301.567993,300.721985,300.721985,303.844513,303.844513,302.566071,302.566071
2016-10-15,297.977844,297.977844,294.551025,294.551025,297.428589,297.428589,294.136322,294.136322,296.889526,296.889526
2016-11-15,290.292694,290.292694,287.535370,287.535370,292.975189,292.975189,290.721344,290.721344,293.658569,293.658569
2016-12-15,283.535278,283.535278,283.690552,283.690552,284.872131,284.872131,283.528412,283.528412,284.305786,284.305786
2017-01-15,284.728271,284.728271,283.992004,283.992004,282.254639,282.254639,284.892792,284.892792,288.773438,288.773438
2017-02-15,286.240265,286.240265,286.240051,286.240051,287.247101,287.247101,284.509827,284.509827,290.030640,290.030640
2017-03-15,288.855621,288.855621,286.318481,286.318481,290.321411,290.321411,289.560120,289.560120,298.898376,298.898376
2017-04-15,296.204803,296.204803,296.868591,296.868591,291.499298,291.499298,296.294312,296.294312,297.560242,297.560242
2017-05-15,300.867004,300.867004,299.574951,299.574951,299.177399,299.177399,299.274200,299.274200,300.369690,300.369690
2017-06-15,305.645294,305.645294,303.639282,303.639282,300.908325,300.908325,304.842865,304.842865,303.783356,303.783356
2017-07-15,305.369720,305.369720,305.561768,305.561768,304.290436,304.290436,305.753632,305.753632,305.258240,305.258240
2017-08-15,304.511536,304.511536,304.056885,304.056885,303.345673,303.345673,304.550995,304.550995,307.558533,307.558533
2017-09-15,305.362640,305.362640,298.536316,298.536316,301.381348,301.381348,299.981384,299.981384,301.715271,301.715271
2017-10-15,296.206665,296.206665,295.048370,295.048370,295.871246,295.871246,295.937744,295.937744,296.729187,296.729187
2017-11-15,290.628571,290.628571,292.374451,292.374451,288.974152,288.974152,289.262360,289.262360,293.584900,293.584900
2017-12-15,285.999451,285.999451,284.377136,284.377136,287.798584,287.798584,285.307892,285.307892,289.636047,289.636047
2018-01-15,284.533447,284.533447,287.926392,287.926392,285.547455,285.547455,284.182007,284.182007,286.128693,286.128693
2018-02-15,287.486664,287.486664,286.917145,286.917145,285.587738,285.587738,286.971497,286.971497,289.529846,289.529846
2018-03-15,290.774658,290.774658,292.334412,292.334412,293.851807,293.851807,296.806976,296.806976,292.105225,292.105225
2018-04-15,296.544800,296.544800,296.357574,296.357574,300.838257,300.838257,297.058563,297.058563,298.701508,298.701508
2018-05-15,302.995270,302.995270,300.165375,300.165375,300.840729,300.840729,298.868958,298.868958,300.717010,300.717010
2018-06-15,306.221375,306.221375,302.632843,302.632843,301.964905,301.964905,301.594513,301.594513,303.788239,303.788239
2018-07-15,307.052185,307.052185,305.630341,305.630341,303.965118,303.965118,305.835541,305.835541,305.967987,305.967987
2018-08-15,305.440216,305.440216,306.010834,306.010834,307.740967,307.740967,306.281311,306.281311,305.963470,305.963470
2018-09-15,301.940125,301.940125,299.016144,299.016144,305.317017,305.317017,303.362213,303.362213,302.140900,302.140900
2018-10-15,296.692932,296.692932,293.324371,293.324371,297.155640,297.155640,295.496887,295.496887,298.933075,298.933075
2018-11-15,290.209045,290.209045,292.657074,292.657074,288.983307,288.983307,289.882751,289.882751,289.922577,289.922577
2018-12-15,280.737549,280.737549,286.826080,286.826080,286.125977,286.125977,282.969147,282.969147,284.136566,284.136566
2019-01-15,285.792664,285.792664,283.615906,283.615906,284.576508,284.576508,289.535004,289.535004,279.386475,279.386475
2019-02-15,284.942596,284.942596,287.889435,287.889435,287.361481,287.361481,289.495422,289.495422,287.323578,287.323578
2019-03-15,288.318604,288.318604,288.663300,288.663300,292.872437,292.872437,292.848389,292.848389,291.484467,291.484467
2019-04-15,296.092316,296.092316,296.974884,296.974884,294.706818,294.706818,297.240448,297.240448,297.197357,297.197357
2019-05-15,300.122772,300.122772,299.449890,299.449890,298.804108,298.804108,300.353699,300.353699,300.967865,300.967865
2019-06-15,305.324982,305.324982,302.141602,302.141602,304.332428,304.332428,303.272980,303.272980,304.097656,304.097656
2019-07-15,306.345490,306.345490,304.709625,304.709625,306.741608,306.741608,304.742126,304.742126,307.694061,307.694061
2019-08-15,305.388245,305.388245,306.668152,306.668152,308.243439,308.243439,304.470032,304.470032,305.434357,305.434357
2019-09-15,303.421570,303.421570,304.290802,304.290802,305.936584,305.936584,300.390686,300.390686,302.374969,302.374969
2019-10-15,297.668121,297.668121,297.614990,297.614990,296.887909,296.887909,296.190002,296.190002,296.760529,296.760529
2019-11-15,288.235657,288.235657,295.172913,295.172913,294.510742,294.510742,288.570801,288.570801,290.002991,290.002991
2019-12-15,288.072540,288.072540,291.369385,291.369385,285.701172,285.701172,282.131653,282.131653,286.156036,286.156036
2020-01-15,285.485718,285.485718,285.816559,285.816559,285.858765,285.858765,280.080200,280.080200,285.136444,285.136444
2020-02-15,290.258484,290.258484,286.446808,286.446808,283.352600,283.352600,284.942230,284.942230,284.347656,284.347656
2020-03-15,291.515778,291.515778,291.982422,291.982422,291.973450,291.973450,289.285522,289.285522,293.040192,293.040192
2020-04-15,296.268036,296.268036,295.026794,295.026794,296.141510,296.141510,297.881134,297.881134,298.868866,298.868866
2020-05-15,301.228577,301.228577,300.399353,300.399353,299.088898,299.088898,300.412537,300.412537,301.790070,301.790070
2020-06-15,304.124878,304.124878,303.527344,303.527344,301.008331,301.008331,303.183960,303.183960,305.031097,305.031097
2020-07-15,301.990051,301.990051,306.033020,306.033020,304.100067,304.100067,305.640564,305.640564,303.742706,303.742706
2020-08-15,303.701477,303.701477,305.908386,305.908386,304.302002,304.302002,305.535889,305.535889,304.929810,304.929810
2020-09-15,305.237335,305.237335,303.426300,303.426300,299.674103,299.674103,304.045593,304.045593,304.458618,304.458618
2020-10-15,301.808777,301.808777,298.855499,298.855499,293.038818,293.038818,299.407959,299.407959,294.885742,294.885742
2020-11-15,294.677643,294.677643,294.777710,294.777710,286.265930,286.265930,291.161926,291.161926,292.080414,292.080414
2020-12-15,288.398682,288.398682,287.967255,287.967255,284.385773,284.385773,287.030487,287.030487,288.491638,288.491638
2021-01-15,283.172729,283.172729,285.856262,285.856262,284.976898,284.976898,285.258423,285.258423,288.067993,288.067993
2021-02-15,287.015137,287.015137,288.330536,288.330536,284.442139,284.442139,290.448547,290.448547,284.809052,284.809052
2021-03-15,293.904724,293.904724,289.574921,289.574921,293.043091,293.043091,292.207550,292.207550,289.925629,289.925629
2021-04-15,297.677856,297.677856,294.975433,294.975433,297.687592,297.687592,297.476440,297.476440,296.155609,296.155609
2021-05-15,299.412964,299.412964,300.123413,300.123413,300.166138,300.166138,298.020203,298.020203,301.415558,301.415558
2021-06-15,305.348633,305.348633,302.253540,302.253540,302.109680,302.109680,304.122711,304.122711,305.972839,305.972839
2021-07-15,307.843506,307.843506,305.246002,305.246002,304.353912,304.353912,306.211121,306.211121,306.751740,306.751740
2021-08-15,306.701233,306.701233,304.018738,304.018738,301.750824,301.750824,304.633728,304.633728,306.693909,306.693909
