#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmin_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmin_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmin_NorESM1-M_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmin_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmin_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmin_NorESM1-M_rcp85(K)
2053-05-15,303.471741,289.461578,301.937439,289.080444,300.199432,290.144623,304.186676,289.470306,301.970947,289.188934
2053-06-15,305.749847,293.588348,306.266266,293.782684,304.283813,294.099609,304.953552,293.737152,305.494202,292.005768
2053-07-15,309.228638,297.071442,309.517761,297.212646,305.532379,294.230774,309.512115,296.584686,307.277985,295.558319
2053-08-15,308.531555,296.842804,307.169952,295.775055,307.090363,296.077698,307.984680,295.583160,305.678101,294.930511
2053-09-15,303.305542,294.414032,304.072693,291.686890,301.946564,289.874298,303.012787,291.659271,301.821503,291.536621
2053-10-15,294.678436,282.535522,298.367950,285.219116,295.922729,283.665070,298.812653,284.900635,295.270599,284.963745
2053-11-15,290.673523,280.000153,291.927216,279.879456,289.921082,275.951691,293.210175,281.110474,291.992340,280.102203
2053-12-15,287.174438,276.465759,287.364288,276.750885,286.578156,273.396851,288.829102,277.875244,288.390594,276.788727
2054-01-15,290.643982,279.524811,285.729462,274.402100,287.033386,275.979218,286.826874,274.449951,286.360229,275.644623
2054-02-15,287.733704,275.081726,288.251678,277.060394,286.151764,274.761658,290.548492,277.287323,289.256134,277.128021
2054-03-15,292.775787,278.304718,290.865662,278.765259,290.489044,278.927826,296.945007,284.769775,293.240692,280.961182
2054-04-15,298.553925,283.559387,297.327759,284.332642,295.035095,283.006439,298.514282,283.779663,298.975647,286.744171
2054-05-15,305.876556,291.323395,300.673309,288.024994,298.929840,288.113556,301.745270,290.546295,302.461975,290.462738
2054-06-15,307.731506,294.642731,305.313446,292.331390,304.015015,292.489960,305.481140,294.313568,305.738617,295.312714
2054-07-15,311.024231,298.131165,305.064606,294.809235,307.711151,294.569458,308.539062,295.889954,309.282684,296.243439
2054-08-15,309.999298,298.082214,304.740387,294.994080,309.583466,296.733215,308.611511,296.403564,307.137695,294.751801
2054-09-15,301.502258,291.812347,302.275116,291.724609,306.784576,291.626343,304.034973,293.227814,303.516327,291.317383
2054-10-15,296.839783,285.640106,297.809204,286.638641,299.235779,284.068756,299.531036,286.925842,296.124817,283.618195
2054-11-15,290.313629,276.265656,292.576111,280.493927,291.993591,278.305603,292.426117,279.090424,288.761536,277.147003
2054-12-15,291.517426,276.049957,286.074890,274.795593,284.974945,274.395111,284.624786,272.962341,289.022278,275.197388
2055-01-15,284.777252,273.823303,284.233582,274.308044,282.053345,271.347534,284.780640,272.188019,287.544739,275.617035
2055-02-15,288.165710,275.794861,289.455963,277.135559,283.719635,272.646637,292.729492,280.031525,287.572540,275.593079
2055-03-15,295.312897,280.754303,293.960022,280.539337,291.004547,279.458069,294.180145,280.532898,294.020142,281.460480
2055-04-15,302.109772,286.017517,296.540344,283.106628,298.310730,284.821014,299.935608,285.427795,300.188629,282.893677
2055-05-15,304.553375,289.959320,300.482056,288.192322,300.539795,290.079681,302.358246,290.343018,300.773346,289.187286
2055-06-15,309.260162,295.370605,302.418030,291.509338,302.750977,292.774353,303.655273,292.216675,306.554718,294.952820
2055-07-15,309.860474,298.099152,307.093170,295.703217,305.840698,294.247681,306.977295,295.422455,307.936890,296.612030
2055-08-15,308.326324,296.404297,305.386963,295.149323,310.917572,296.392517,305.308899,293.603760,306.058655,294.783386
2055-09-15,305.740417,294.058960,301.479767,290.703796,306.399445,293.338287,300.028107,291.116638,303.811035,293.143066
2055-10-15,297.741394,285.921326,297.708618,284.749298,298.092224,286.899567,298.499176,285.714691,298.765167,286.542206
2055-11-15,290.763123,277.108765,294.247650,281.427460,293.322540,283.290985,294.138184,281.383667,295.118622,280.782196
2055-12-15,282.489502,271.932648,288.231720,276.985901,283.315796,274.593018,289.677643,278.018494,288.580475,277.253815
2056-01-15,282.694092,272.944702,290.578583,279.844543,287.351837,277.928558,284.331757,272.028473,288.371613,276.031555
2056-02-15,284.243103,273.987091,286.679077,274.012512,282.765259,273.213928,285.519501,272.735901,291.071320,276.543518
2056-03-15,291.926422,277.964020,291.402466,279.004669,292.224243,280.095886,293.770782,281.228577,299.629242,283.838440
2056-04-15,297.732758,282.183014,298.477936,283.469330,294.639771,282.435486,299.593262,284.049408,300.225891,284.152954
2056-05-15,302.197357,288.358429,303.007202,289.262726,299.133148,287.802979,300.478882,287.272980,302.613495,289.057648
2056-06-15,306.755981,293.732635,305.158417,294.214081,303.043060,292.364075,305.251648,293.224701,304.079620,291.913910
2056-07-15,308.605652,297.005432,307.004791,295.080292,305.500763,293.788483,306.691010,296.009308,305.743896,294.991852
2056-08-15,307.895874,296.131195,307.832733,296.027374,307.264923,296.141632,307.536591,296.391174,307.367035,295.474579
2056-09-15,301.007141,291.127716,305.255585,293.144318,302.927063,292.133850,304.197571,291.508759,304.169891,291.441345
2056-10-15,296.252106,284.399628,298.555664,284.700073,297.255920,283.240997,298.360626,284.505890,298.646057,286.176483
2056-11-15,291.785767,279.525665,292.484772,279.184601,291.348175,277.407104,289.344940,277.206146,290.708679,278.844269
2056-12-15,288.011047,277.966888,288.700378,278.106171,285.421844,273.432892,289.624939,279.095001,288.420013,278.604950
2057-01-15,284.864319,272.848724,287.262268,275.780823,286.073975,275.652771,289.787262,277.179047,285.368286,273.875061
2057-02-15,289.406189,277.854889,284.269135,272.379700,288.695068,275.621246,289.097351,277.174286,289.715271,277.174072
2057-03-15,290.285004,277.642639,288.059479,275.927917,293.733002,279.196594,295.072205,281.618988,296.487366,284.290436
2057-04-15,295.306183,280.193237,293.504791,280.891724,297.928040,284.684021,299.871765,285.988373,297.437714,280.821472
2057-05-15,302.420776,288.088959,300.312225,288.590027,301.192688,289.412109,301.136932,289.942841,302.831512,289.400360
2057-06-15,308.161499,294.458160,304.066803,293.317413,307.333282,293.971466,304.495026,293.238708,306.915741,293.607300
2057-07-15,308.584778,297.152069,306.285278,296.411224,308.361877,294.845795,305.522552,294.461639,308.761566,297.316681
2057-08-15,310.603058,297.064056,307.577881,296.542419,308.506805,296.673706,308.229065,296.016663,308.711548,296.132385
2057-09-15,304.014435,293.172974,300.678009,292.561371,304.320862,289.591309,302.476227,290.775940,302.722137,290.044312
2057-10-15,298.744965,287.910156,295.366028,283.240265,298.232056,282.342133,297.630310,283.248474,298.619385,281.381073
2057-11-15,290.677551,275.915222,290.989899,278.462250,289.392151,278.783234,297.177338,284.556549,293.725891,278.502411
2057-12-15,287.664429,276.352203,287.538910,276.268188,285.088623,274.167847,287.562714,275.342957,289.447357,276.370331
2058-01-15,284.663635,273.928619,288.187653,276.898895,284.739410,272.562225,285.701538,272.232330,286.494415,275.139313
2058-02-15,293.312408,278.827606,290.790436,279.410309,286.072296,272.531097,291.157593,278.906921,288.029907,275.050690
2058-03-15,294.930847,282.154510,296.680786,284.408478,293.308472,279.033234,293.874390,280.442963,293.462494,277.461823
2058-04-15,297.146545,281.780670,300.665375,285.078979,293.082794,279.972260,299.860535,285.799438,297.678741,283.074219
2058-05-15,306.707886,290.284637,301.703033,289.968597,302.731293,286.382507,302.525757,289.729218,302.521027,289.630798
2058-06-15,306.166534,293.641296,304.829163,293.578888,303.717865,292.698456,306.486877,295.429199,307.915527,294.184387
2058-07-15,307.078247,296.042236,306.039764,295.300049,307.376038,295.367157,305.960419,295.572449,306.289246,294.675354
2058-08-15,307.511658,295.391663,309.130280,296.644653,306.518005,295.166656,306.215698,293.716949,306.856537,295.446991
2058-09-15,301.670746,291.291351,303.976013,294.459930,301.874573,292.873260,303.255768,292.792297,304.318451,293.641052
2058-10-15,299.057098,286.047821,297.591827,284.613312,295.385986,283.862518,297.185791,286.091675,295.726166,284.839691
2058-11-15,293.974396,282.640137,292.186798,280.213531,291.815582,278.742096,294.500580,281.307617,289.158875,275.722656
2058-12-15,293.782043,283.053864,290.348175,279.530334,285.187286,274.835693,289.714417,279.208344,290.912872,280.099762
2059-01-15,286.057770,275.380341,288.175415,277.213989,284.465820,273.710541,288.498993,277.584045,289.968170,278.672028
2059-02-15,288.236389,275.402435,284.307495,273.289398,290.207825,277.033752,290.016205,277.595245,286.734375,274.282776
2059-03-15,294.798065,280.350922,292.056854,279.585297,291.587097,278.349335,292.714539,279.187744,296.053284,281.214966
2059-04-15,300.145233,284.457642,294.589264,282.200226,297.542542,283.368958,298.858337,284.082428,298.255951,284.746368
2059-05-15,304.108398,290.196503,303.053192,290.823792,303.993835,290.029968,301.721161,287.446533,302.771057,290.277740
2059-06-15,309.843048,296.296112,303.330383,291.842651,304.958984,293.519348,305.654297,294.592255,307.604401,294.837952
2059-07-15,310.410858,297.778870,305.944122,296.268158,308.141571,296.156891,306.889618,296.151550,307.865692,295.168915
2059-08-15,308.143555,296.154114,302.244293,294.999451,308.562958,295.966675,307.798798,296.335144,304.588440,294.283295
2059-09-15,303.709442,291.960876,299.437164,290.844452,305.766754,290.502350,301.668121,290.449677,302.522736,291.011749
2059-10-15,297.207336,283.720795,296.325287,283.319061,294.844421,285.655090,298.203278,284.430298,300.365662,284.749268
2059-11-15,295.279205,283.498444,293.989899,281.582916,291.051422,279.937195,294.761108,281.342010,294.603424,279.796936
2059-12-15,287.502594,275.776489,291.330139,279.857788,287.293579,276.819885,289.172974,277.374664,288.860016,276.530426
2060-01-15,285.958252,274.011932,285.570618,274.031952,284.021667,272.694458,286.015503,274.661774,289.316589,277.683899
2060-02-15,288.874298,278.251221,292.205780,280.668640,286.229675,273.770081,286.451569,275.610931,291.739105,279.665070
2060-03-15,290.735474,277.452240,296.658997,283.333221,291.918121,279.518616,293.024872,280.348511,293.333588,281.512482
2060-04-15,294.937622,280.447296,298.626038,285.411682,295.437042,283.653503,299.180542,283.904083,297.652832,281.771667
2060-05-15,301.523407,287.518585,300.252899,288.979919,299.537506,288.005951,303.137512,286.830048,302.240448,289.185791
2060-06-15,307.007690,293.275848,303.346405,293.602997,302.635895,291.869568,306.161469,294.404083,305.747162,293.796570
2060-07-15,309.644684,296.710999,305.052643,294.958191,305.388397,294.972748,308.238708,297.454559,306.138824,295.526093
2060-08-15,311.142700,297.677551,305.346558,295.011200,306.447723,296.266937,309.689606,297.367493,306.621155,294.484680
2060-09-15,303.590332,291.445099,300.611298,290.334503,302.396484,290.283600,304.632782,292.592224,305.426453,292.991119
2060-10-15,297.020233,284.607422,294.704285,282.834442,297.621796,284.530823,299.864777,288.067535,300.365814,285.818909
2060-11-15,293.367584,280.443085,291.656738,279.639465,292.403992,278.058990,296.272888,283.454865,288.683228,276.136841
2060-12-15,286.579468,273.535919,283.542664,272.860535,288.644012,278.982361,290.172668,278.097839,285.906616,274.677948
2061-01-15,283.176056,271.882477,286.956360,275.762177,284.386780,274.103088,286.012573,275.113098,287.781342,274.557770
2061-02-15,288.502594,276.814911,290.700592,279.013885,289.083893,277.690735,287.594879,274.231842,284.632477,273.495178
2061-03-15,295.049652,280.860077,296.087982,283.840729,292.026215,279.484589,295.663025,281.943939,292.455139,279.848175
2061-04-15,300.471466,284.651031,298.611511,284.527710,296.393616,281.694519,300.174622,286.376831,299.150269,284.393677
2061-05-15,301.677002,288.398499,304.904663,290.983521,302.226593,287.553589,302.958740,289.944794,302.967712,290.708008
2061-06-15,304.582245,293.051575,306.646179,294.043365,303.572205,292.339630,306.408813,295.293915,307.373444,295.329803
2061-07-15,304.161285,293.881256,309.938904,296.624847,304.960419,295.174927,306.747253,296.255737,306.993042,295.665131
2061-08-15,306.814056,293.971069,306.579834,295.900330,306.730377,296.886841,308.451202,296.163452,306.427887,295.907043
2061-09-15,302.840759,292.943390,306.786316,294.377960,303.493103,292.338593,305.050598,290.620544,302.662933,292.184540
2061-10-15,297.034760,286.016174,297.414764,286.011475,298.826233,283.890778,298.844513,284.712738,297.365753,283.806580
2061-11-15,291.389954,280.140320,292.821747,279.686707,292.717896,280.615784,293.405060,278.454895,293.206268,281.913879
2061-12-15,285.523773,274.442261,285.439758,274.304596,286.945892,275.434143,290.130920,276.856903,286.886414,274.583160
2062-01-15,280.663818,271.605682,285.218506,272.149689,285.384796,273.350067,292.197357,278.268646,285.750122,272.293030
2062-02-15,288.363617,277.217499,288.549469,275.896393,289.024994,276.550964,290.353851,276.679871,290.060242,276.205902
2062-03-15,294.847137,281.293976,293.740936,280.160065,289.234100,276.620575,295.621277,280.128937,294.628662,281.791748
2062-04-15,297.172180,285.023438,297.319550,284.548798,298.171570,284.793671,298.736847,284.434265,299.229828,285.974609
2062-05-15,300.865997,289.722687,302.408936,290.725189,301.304688,289.431213,302.102112,288.825043,304.004303,291.967804
2062-06-15,306.989319,295.556549,303.759338,292.660126,304.619446,293.237976,305.268860,293.619354,307.332550,295.498413
2062-07-15,308.171051,296.054932,308.604767,296.107941,307.749268,296.259918,304.372498,294.663269,309.916595,296.332825
2062-08-15,305.680817,295.090759,309.760223,297.186005,309.930908,296.757782,305.873077,294.010803,310.581421,296.164703
2062-09-15,304.377808,293.083221,307.126251,293.873474,302.676666,289.041718,302.789978,289.543091,306.228821,294.588257
2062-10-15,298.586365,286.029877,300.315674,287.398010,297.163818,287.174774,300.432770,286.452881,300.293762,288.773773
2062-11-15,291.140503,279.517700,292.317169,278.342590,290.563354,278.897339,294.782715,281.832031,295.169556,283.060547
2062-12-15,287.039581,276.006744,289.303375,277.825745,287.844727,276.806641,290.799927,278.283142,292.515778,280.246124
2063-01-15,283.419983,273.429535,282.692657,272.516937,286.981720,275.365326,291.991669,278.821381,285.018860,273.745880
2063-02-15,292.590637,279.437347,289.312958,277.722870,286.706512,275.558807,291.255310,278.696991,290.416443,277.000610
2063-03-15,294.530518,281.803894,293.891449,280.261719,295.752075,281.510071,295.637543,281.797028,295.193420,280.636597
2063-04-15,297.407684,283.546875,298.187561,285.141022,296.621094,283.770111,299.767395,285.944427,299.693909,284.525848
2063-05-15,302.766663,290.239471,300.166290,288.602936,301.364655,289.021362,303.529083,290.901123,301.785370,290.910004
2063-06-15,304.163757,292.341339,304.506744,292.953827,302.827759,293.466583,305.117889,294.074219,308.589661,295.158997
2063-07-15,309.957642,297.446472,305.168762,294.092865,305.952240,295.774994,306.800476,294.354706,308.976288,295.503967
2063-08-15,309.181488,297.065613,305.315338,294.244934,307.244812,296.784241,306.022400,295.169373,310.331818,295.841766
2063-09-15,307.233215,294.554596,304.226196,292.755951,305.207916,290.440369,302.627441,292.543457,307.190399,290.737640
2063-10-15,297.567719,285.706451,300.061646,286.201874,299.015411,284.886322,297.496368,284.974274,301.473969,286.078430
2063-11-15,291.190338,280.293610,296.999420,284.145142,290.751312,279.089783,292.221588,279.982544,294.883270,279.524261
2063-12-15,282.946838,273.265991,288.316376,277.927094,286.938538,276.635803,289.757172,277.767792,288.973206,276.966064
2064-01-15,286.667664,275.518036,288.883728,277.204773,285.450806,274.352722,287.549438,275.797821,287.737213,274.080597
2064-02-15,285.605865,274.387604,288.420929,276.760040,286.931488,275.004211,289.837463,278.538177,290.331329,278.051819
2064-03-15,291.193237,277.567017,295.205048,282.052124,289.879303,278.802734,297.433929,284.060760,291.993683,277.598755
2064-04-15,299.577362,285.610260,296.529449,282.838837,299.064484,285.653778,302.760437,289.916840,297.855408,284.277222
2064-05-15,305.513367,291.854340,300.114655,288.174805,299.258179,290.414276,305.259735,291.734985,302.985779,289.846039
2064-06-15,305.687073,293.913666,303.880707,292.865326,304.536072,294.756653,307.747467,293.785858,308.226501,295.676056
2064-07-15,309.119995,297.159393,312.694916,299.227875,305.251007,294.830231,307.906525,296.836334,307.688812,295.630554
2064-08-15,311.138397,298.602661,310.250946,297.873230,307.671082,296.208191,307.529388,295.887146,306.427032,295.519928
2064-09-15,302.025513,292.916779,302.272552,291.829163,306.009003,292.425781,304.064301,294.214325,305.977600,293.695129
2064-10-15,299.451965,286.144684,295.979767,284.589630,296.861572,284.142975,298.763214,286.692749,299.614044,287.885162
2064-11-15,290.667542,276.199432,292.359833,281.642212,291.254486,280.793335,293.893494,279.151886,293.432800,281.692780
2064-12-15,288.434631,276.791595,290.010193,279.410248,288.605316,277.466644,292.459930,281.927704,285.459320,275.831818
2065-01-15,288.827515,279.241364,286.989349,275.855194,285.940460,275.118622,286.155701,274.137115,283.073395,271.802002
2065-02-15,288.625488,275.409790,289.298370,277.779846,285.074677,274.977722,289.109985,276.931580,284.677094,273.399261
2065-03-15,295.960724,282.013458,293.563080,279.492889,293.217804,279.461334,294.503723,280.270264,292.516266,278.834198
2065-04-15,297.034668,283.348083,297.102997,283.659546,298.635376,284.959808,299.064636,284.070953,298.406189,284.492554
2065-05-15,303.445526,289.165924,302.808960,291.513092,302.791992,289.012939,302.576202,289.922913,303.311371,291.318329
2065-06-15,307.368683,294.480194,306.117706,294.767853,303.820618,293.365601,305.334259,292.757751,305.465179,293.064148
2065-07-15,309.229309,296.715973,304.158142,294.695679,306.941589,295.593964,307.557770,296.690948,306.010712,294.805206
2065-08-15,309.102112,296.223480,305.044678,294.990021,306.627563,295.716919,307.640717,294.882568,306.005096,294.736176
2065-09-15,303.510162,293.129028,300.015045,290.925323,301.378693,291.021210,303.522522,294.326324,304.299103,294.080902
2065-10-15,298.977356,287.187927,296.941406,287.169220,296.963226,282.984497,295.221680,282.566864,299.038239,284.556580
2065-11-15,293.097443,279.108948,293.892395,281.141937,293.910553,279.376892,291.837341,279.417480,299.280701,283.947662
2065-12-15,284.231232,271.881653,287.264587,276.761444,288.808014,277.166840,290.675537,278.443665,286.814453,276.913086
2066-01-15,286.525391,274.355896,283.926849,272.304047,284.539062,274.412476,288.079346,276.513489,287.194702,276.616455
2066-02-15,289.279144,278.014160,290.811005,278.528351,285.673859,275.813416,286.084045,273.564880,289.055603,275.221710
2066-03-15,294.167328,282.156464,291.969330,278.602203,293.734436,281.332672,291.789490,278.548523,296.503357,281.644104
2066-04-15,297.027954,283.023041,296.138550,283.241882,295.343750,281.468170,300.396210,286.423553,296.282257,283.080872
2066-05-15,303.136383,288.257385,301.936493,289.294922,302.776947,286.033844,303.272217,291.023895,305.783020,290.139557
2066-06-15,309.240143,295.573608,306.513123,293.750092,310.269928,294.403442,305.465546,294.400818,307.275848,295.075897
2066-07-15,305.748688,296.375092,307.775604,297.164185,307.591919,294.299408,307.752777,295.683044,307.191437,295.294556
2066-08-15,307.935852,295.281281,307.730804,296.701233,307.878174,296.501404,305.762024,294.541412,309.095551,296.660400
