,"(mm) Precipitation (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1969-09-01",112.628
"1969-10-01",37.563
"1969-11-01",91.591
"1969-12-01",117.581
"1970-01-01",78.593
"1970-02-01",61.386
"1970-03-01",152.588
"1970-04-01",102.216
"1970-05-01",88.232
"1970-06-01",109.322
"1970-07-01",127.354
"1970-08-01",106.31
"1970-09-01",72.02
"1970-10-01",186.108
"1970-11-01",56.736
"1970-12-01",75.461
"1971-01-01",139.186
"1971-02-01",168.671
"1971-03-01",193.598
"1971-04-01",100.126
"1971-05-01",75.622
"1971-06-01",76.274
"1971-07-01",198.291
"1971-08-01",135.197
"1971-09-01",125.533
"1971-10-01",70.691
"1971-11-01",97.554
"1971-12-01",157.558
"1972-01-01",254.619
"1972-02-01",87.905
"1972-03-01",125.953
"1972-04-01",60.13
"1972-05-01",182.989
"1972-06-01",130.652
"1972-07-01",104.316
"1972-08-01",54.925
"1972-09-01",77.515
"1972-10-01",101.747
"1972-11-01",129.35
"1972-12-01",214.875
"1973-01-01",149.036
"1973-02-01",94.666
"1973-03-01",229.066
"1973-04-01",173.291
"1973-05-01",216.839
"1973-06-01",123.045
"1973-07-01",78.782
"1973-08-01",83.785
"1973-09-01",154.701
"1973-10-01",42.967
"1973-11-01",80.6
"1973-12-01",153.395
"1974-01-01",235.527
"1974-02-01",134.424
"1974-03-01",80.771
"1974-04-01",130.616
"1974-05-01",133.248
"1974-06-01",78.189
"1974-07-01",108.56
"1974-08-01",181.284
"1974-09-01",47.266
"1974-10-01",30.039
"1974-11-01",87.937
"1974-12-01",167.042
"1975-01-01",142.447
"1975-02-01",205.128
"1975-03-01",230.688
"1975-04-01",51.064
"1975-05-01",171.479
"1975-06-01",114.411
"1975-07-01",125.291
"1975-08-01",95.156
"1975-09-01",184.567
"1975-10-01",129.158
"1975-11-01",99.668
"1975-12-01",108.439
"1976-01-01",151.483
"1976-02-01",61.023
"1976-03-01",302.834
"1976-04-01",30.924
"1976-05-01",250.393
"1976-06-01",109.675
"1976-07-01",111.84
"1976-08-01",57.253
"1976-09-01",50.502
"1976-10-01",130.947
"1976-11-01",87.722
"1976-12-01",145.824
"1977-01-01",124.473
"1977-02-01",68.168
"1977-03-01",260.488
"1977-04-01",111.88
"1977-05-01",56.452
"1977-06-01",57.507
"1977-07-01",75.098
"1977-08-01",101.153
"1977-09-01",146.405
"1977-10-01",218.735
"1977-11-01",191.634
"1977-12-01",106.212
"1978-01-01",216.163
"1978-02-01",19.381
"1978-03-01",91.475
"1978-04-01",94.754
"1978-05-01",118.999
"1978-06-01",65.427
"1978-07-01",99.438
"1978-08-01",185.572
"1978-09-01",21.758
"1978-10-01",22.146
"1978-11-01",78.465
"1978-12-01",130.459
"1979-01-01",179.19
"1979-02-01",156.976
"1979-03-01",127.414
"1979-04-01",290.239
"1979-05-01",115.876
"1979-06-01",83.087
"1979-07-01",163.989
"1979-08-01",107.532
"1979-09-01",151.12
"1979-10-01",74.554
"1979-11-01",143.89
"1979-12-01",32.855
"1980-01-01",187.085
"1980-02-01",66.889
"1980-03-01",385.634
"1980-04-01",91.926
"1980-05-01",164.024
"1980-06-01",135.386
"1980-07-01",34.881
"1980-08-01",47.575
"1980-09-01",196.32
"1980-10-01",92.249
"1980-11-01",57.798
"1980-12-01",23.362
"1981-01-01",25.391
"1981-02-01",159.221
"1981-03-01",97.957
"1981-04-01",61.082
"1981-05-01",129.332
"1981-06-01",68.541
"1981-07-01",44.42
"1981-08-01",105.101
"1981-09-01",71.361
"1981-10-01",75.526
"1981-11-01",44.808
"1981-12-01",146.515
"1982-01-01",189.717
"1982-02-01",236.693
"1982-03-01",75.82
"1982-04-01",213.301
"1982-05-01",62.814
"1982-06-01",92.053
"1982-07-01",126.234
"1982-08-01",95.414
"1982-09-01",56.61
"1982-10-01",150.511
"1982-11-01",100.79
"1982-12-01",187.371
"1983-01-01",91.447
"1983-02-01",133.996
"1983-03-01",180.294
"1983-04-01",126.143
"1983-05-01",117.535
"1983-06-01",77.244
"1983-07-01",19.178
"1983-08-01",42.402
"1983-09-01",170.551
"1983-10-01",73.857
"1983-11-01",184.196
"1983-12-01",323.186
"1984-01-01",112.904
"1984-02-01",132.2
"1984-03-01",127.092
"1984-04-01",152.887
"1984-05-01",144.435
"1984-06-01",68.139
"1984-07-01",258.04
"1984-08-01",105.185
"1984-09-01",10.723
"1984-10-01",47.521
"1984-11-01",77.352
"1984-12-01",81.944
"1985-01-01",99.247
"1985-02-01",162.197
"1985-03-01",31.03
"1985-04-01",68.965
"1985-05-01",118.814
"1985-06-01",92.243
"1985-07-01",210.482
"1985-08-01",129.836
"1985-09-01",27.09
"1985-10-01",90.032
"1985-11-01",117.131
"1985-12-01",37.207
"1986-01-01",46.066
"1986-02-01",45.096
"1986-03-01",87.546
"1986-04-01",30.284
"1986-05-01",97.764
"1986-06-01",18.893
"1986-07-01",50.753
"1986-08-01",85.659
"1986-09-01",121.901
"1986-10-01",235.882
"1986-11-01",154.955
"1986-12-01",127.894
"1987-01-01",157.073
"1987-02-01",130.094
"1987-03-01",127.161
"1987-04-01",46.064
"1987-05-01",57.858
"1987-06-01",146.808
"1987-07-01",62.381
"1987-08-01",68.931
"1987-09-01",70.287
"1987-10-01",13.703
"1987-11-01",89.667
"1987-12-01",109.171
"1988-01-01",136.829
"1988-02-01",57.325
"1988-03-01",53.461
"1988-04-01",139.252
"1988-05-01",24.874
"1988-06-01",15.337
"1988-07-01",106.08
"1988-08-01",95.344
"1988-09-01",180.856
"1988-10-01",99.955
"1988-11-01",77.897
"1988-12-01",39.751
"1989-01-01",111.878
"1989-02-01",137.086
"1989-03-01",97.354
"1989-04-01",81.205
"1989-05-01",114.847
"1989-06-01",242.816
"1989-07-01",172.907
"1989-08-01",59.209
"1989-09-01",204.386
"1989-10-01",129.304
"1989-11-01",121.492
"1989-12-01",112.645
"1990-01-01",202.145
"1990-02-01",192.432
"1990-03-01",240.395
"1990-04-01",54.343
"1990-05-01",96.932
"1990-06-01",13.124
"1990-07-01",99.17
"1990-08-01",121.675
"1990-09-01",126.507
"1990-10-01",128.085
"1990-11-01",54.334
"1990-12-01",113.214
"1991-01-01",140.885
"1991-02-01",99.724
"1991-03-01",155.471
"1991-04-01",156.541
"1991-05-01",136.663
"1991-06-01",103.941
"1991-07-01",136.848
"1991-08-01",169.351
"1991-09-01",59.972
"1991-10-01",8.011
"1991-11-01",97.8
"1991-12-01",116.363
"1992-01-01",102.176
"1992-02-01",155.841
"1992-03-01",148.213
"1992-04-01",41.367
"1992-05-01",46.951
"1992-06-01",112.614
"1992-07-01",117.648
"1992-08-01",193.608
"1992-09-01",138.451
"1992-10-01",106.786
"1992-11-01",223.13
"1992-12-01",212.328
"1993-01-01",219.129
"1993-02-01",114.517
"1993-03-01",147.497
"1993-04-01",87.5
"1993-05-01",111.888
"1993-06-01",71.421
"1993-07-01",29.091
"1993-08-01",73.931
"1993-09-01",57.44
"1993-10-01",100.548
"1993-11-01",126.486
"1993-12-01",94.523
"1994-01-01",120.362
"1994-02-01",128.104
"1994-03-01",194.912
"1994-04-01",90.473
"1994-05-01",83.705
"1994-06-01",174.268
"1994-07-01",166.928
"1994-08-01",161.614
"1994-09-01",89.059
"1994-10-01",143.921
"1994-11-01",71.571
"1994-12-01",59.041
"1995-01-01",106.894
"1995-02-01",187.926
"1995-03-01",97.448
"1995-04-01",64.144
"1995-05-01",78.02
"1995-06-01",139.027
"1995-07-01",33.929
"1995-08-01",168.307
"1995-09-01",61.02
"1995-10-01",240.503
"1995-11-01",178.087
"1995-12-01",74.658
"1996-01-01",232.965
"1996-02-01",106.333
"1996-03-01",258.963
"1996-04-01",122.619
"1996-05-01",61.893
"1996-06-01",74.187
"1996-07-01",74.062
"1996-08-01",82.363
"1996-09-01",127.273
"1996-10-01",32.841
"1996-11-01",105.747
"1996-12-01",110.393
"1997-01-01",162.646
"1997-02-01",160.75
"1997-03-01",109.728
"1997-04-01",143.417
"1997-05-01",102.396
"1997-06-01",157.862
"1997-07-01",137.852
"1997-08-01",42.019
"1997-09-01",150.443
"1997-10-01",154.314
"1997-11-01",92.917
"1997-12-01",113.279
"1998-01-01",164.032
"1998-02-01",224.297
"1998-03-01",131.266
"1998-04-01",244.683
"1998-05-01",121.598
"1998-06-01",74.896
"1998-07-01",72.235
"1998-08-01",152.839
"1998-09-01",56.328
"1998-10-01",22.969
"1998-11-01",104.759
"1998-12-01",107.751
"1999-01-01",139.833
"1999-02-01",101.451
"1999-03-01",62.207
"1999-04-01",60.638
"1999-05-01",91.576
"1999-06-01",114.01
"1999-07-01",116.425
"1999-08-01",66.658
"1999-09-01",59.384
"1999-10-01",134.877
"1999-11-01",104.374
"1999-12-01",55.138
"2000-01-01",144.848
"2000-02-01",51.521
"2000-03-01",116.724
"2000-04-01",98.365
"2000-05-01",50.878
"2000-06-01",63.079
"2000-07-01",35.969
"2000-08-01",159.981
"2000-09-01",182.754
"2000-10-01",4.738
"2000-11-01",125.386
"2000-12-01",63.356
"2001-01-01",113.068
"2001-02-01",87.2
"2001-03-01",198.441
"2001-04-01",51.717
"2001-05-01",104.859
"2001-06-01",185.993
"2001-07-01",211.325
"2001-08-01",80.785
"2001-09-01",75.918
"2001-10-01",41.378
"2001-11-01",36.409
"2001-12-01",79.245
"2002-01-01",165.693
"2002-02-01",49.714
"2002-03-01",177.212
"2002-04-01",39.611
"2002-05-01",120.49
"2002-06-01",70.275
"2002-07-01",72.209
"2002-08-01",102.129
"2002-09-01",219.315
"2002-10-01",132.886
"2002-11-01",173.081
"2002-12-01",190.216
"2003-01-01",72.088
"2003-02-01",146.909
"2003-03-01",146.273
"2003-04-01",107.975
"2003-05-01",218.137
"2003-06-01",244.424
"2003-07-01",261.541
"2003-08-01",128.64
"2003-09-01",103.474
"2003-10-01",38.975
"2003-11-01",141.635
"2003-12-01",87.324
"2004-01-01",79.507
"2004-02-01",113.673
"2004-03-01",43.666
"2004-04-01",54.062
"2004-05-01",86.638
"2004-06-01",176.406
"2004-07-01",156.313
"2004-08-01",85.715
"2004-09-01",332.076
"2004-10-01",30.459
"2004-11-01",141.79
"2004-12-01",146.455
"2005-01-01",52.275
"2005-02-01",165.541
"2005-03-01",158.359
"2005-04-01",115.15
"2005-05-01",47.887
"2005-06-01",223.578
"2005-07-01",279.297
"2005-08-01",181.345
"2005-09-01",11.6
"2005-10-01",96.554
"2005-11-01",80.632
"2005-12-01",122.311
